Name,rate,total_piece,remain_piece,used_piece
grander,100,10,10,0
dril_machine,50,5,5,0
ghori_4ft,100,5,5,0
ghori_5ft,100,5,5,0
ghori_8ft,150,4,4,0
ghori_10ft,150,5,5,0
serhi_10ft,100,3,3,0
serhi_25ft,150,3,3,0
folding_serhi,100,8,8,0
folding_seat,150,6,6,0
large_lohaPlate,100,10,10,0
small_lohaPlate,50,4,4,0
hand_rerhi,100,4,4,0
demp_farma,50,3,3,0
phata_7ft,10,50,50,0
baly,6,100,100,0
bans,1,100,100,0
drum,100,5,5,0
damosa,50,5,5,0
karahi,50,4,4,0
belcha,50,8,8,0
genti,50,9,9,0
kassi,50,1,1,0
panji,50,9,9,0
wadan,50,5,5,0
cheni_hathora,50,4,4,0
electronic_vaibrator,1000,1,1,0
